ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-01-01,15684106.414586328,54513329.31503171,70671176.24672046,15684106.414586328,15684106.414586328,46726533.8066785,46726533.8066785,46726533.8066785,46726533.8066785,46726533.8066785,46726533.8066785,0.0,0.0,0.0,62410640.221264824
2020-01-01,15534381.734490683,54173347.17231879,70585483.95922998,15534381.734490683,15534381.734490683,46629916.172730245,46629916.172730245,46629916.172730245,46629916.172730245,46629916.172730245,46629916.172730245,0.0,0.0,0.0,62164297.90722093
2020-12-31,15384657.054395037,54162487.03127888,69757663.79538204,15384657.011583414,15384657.096584264,46827221.181860946,46827221.181860946,46827221.181860946,46827221.181860946,46827221.181860946,46827221.181860946,0.0,0.0,0.0,62211878.23625598
2021-12-31,15234932.374299394,53944287.36786096,71369923.49811177,15234932.234832155,15234932.505679492,47318002.988312796,47318002.988312796,47318002.988312796,47318002.988312796,47318002.988312796,47318002.988312796,0.0,0.0,0.0,62552935.36261219
2022-12-31,15085207.694203747,54890435.71989391,71132134.57739083,15085207.417528875,15085207.957031118,48101279.62229546,48101279.62229546,48101279.62229546,48101279.62229546,48101279.62229546,48101279.62229546,0.0,0.0,0.0,63186487.31649921
2023-12-31,14935483.0141081,56197142.43918149,72287241.8149557,14935482.576517265,14935483.415967574,49175534.710267805,49175534.710267805,49175534.710267805,49175534.710267805,49175534.710267805,49175534.710267805,0.0,0.0,0.0,64111017.7243759
2024-12-31,14785348.129409455,53461577.24200503,69350793.76537533,14785347.521324571,14785348.683843568,46827221.18185813,46827221.18185813,46827221.18185813,46827221.18185813,46827221.18185813,46827221.18185813,0.0,0.0,0.0,61612569.311267585
2025-12-31,14635623.449313808,53692815.58191471,70315860.43489422,14635622.675806254,14635624.165591625,47318002.98830723,47318002.98830723,47318002.98830723,47318002.98830723,47318002.98830723,47318002.98830723,0.0,0.0,0.0,61953626.43762104
2026-12-31,14485898.769218165,54446872.59927762,70332854.0072513,14485897.806973815,14485899.652075734,48101279.622291945,48101279.622291945,48101279.622291945,48101279.622291945,48101279.622291945,48101279.622291945,0.0,0.0,0.0,62587178.391510114
2027-12-31,14336174.089122519,54769290.396336704,71846737.28720257,14336172.913538454,14336175.219185386,49175534.710271925,49175534.710271925,49175534.710271925,49175534.710271925,49175534.710271925,49175534.710271925,0.0,0.0,0.0,63511708.79939444
2028-12-31,14186039.204423873,53108172.80654625,69384075.35808809,14186037.805322452,14186040.56368955,46827221.1818595,46827221.1818595,46827221.1818595,46827221.1818595,46827221.1818595,46827221.1818595,0.0,0.0,0.0,61013260.386283375
2029-12-31,14036314.524328228,53004837.90462844,69233438.95775262,14036312.884225601,14036316.146953233,47318002.98831343,47318002.98831343,47318002.98831343,47318002.98831343,47318002.98831343,47318002.98831343,0.0,0.0,0.0,61354317.51264165
2030-12-31,13886589.844232582,53695709.87390335,69903048.5785025,13886587.9273556,13886591.703377644,48101279.62229577,48101279.62229577,48101279.62229577,48101279.62229577,48101279.62229577,48101279.62229577,0.0,0.0,0.0,61987869.46652835
