ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1973-01-01,22064965.25929266,26856785.64355074,46548596.590846956,22064965.25929266,22064965.25929266,14372268.998256572,14372268.998256572,14372268.998256572,14372268.998256572,14372268.998256572,14372268.998256572,0.0,0.0,0.0,36437234.25754923
1974-01-01,22666484.74679223,27045757.245465945,47275843.28054913,22666484.74679223,22666484.74679223,14432889.90000005,14432889.90000005,14432889.90000005,14432889.90000005,14432889.90000005,14432889.90000005,0.0,0.0,0.0,37099374.64679228
1975-01-01,23267762.464373462,27809099.493112747,48195364.6981347,23267762.464373462,23267762.464373462,14641723.097386729,14641723.097386729,14641723.097386729,14641723.097386729,14641723.097386729,14641723.097386729,0.0,0.0,0.0,37909485.56176019
1976-01-01,23869040.181954697,28668753.808224253,48789470.840816826,23869040.181954697,23869040.181954697,14998502.29926911,14998502.29926911,14998502.29926911,14998502.29926911,14998502.29926911,14998502.29926911,0.0,0.0,0.0,38867542.48122381
1977-01-01,24471796.57033096,28627774.36696393,48706619.75389166,24471796.57033096,24471796.57033096,14372268.998256598,14372268.998256598,14372268.998256598,14372268.998256598,14372268.998256598,14372268.998256598,0.0,0.0,0.0,38844065.56858756
1978-01-01,25072906.083329137,29226642.524851084,49376504.870016046,25072906.083329137,25072906.083329137,14432889.900000064,14432889.900000064,14432889.900000064,14432889.900000064,14432889.900000064,14432889.900000064,0.0,0.0,0.0,39505795.9833292
1979-01-01,25674015.596327323,30484298.2027252,50319930.53429395,25674015.596327323,25674015.596327323,14641723.097386716,14641723.097386716,14641723.097386716,14641723.097386716,14641723.097386716,14641723.097386716,0.0,0.0,0.0,40315738.69371404
1980-01-01,24934999.378109485,30168099.21237309,49234726.404372655,24934999.378109485,24934999.378109485,14998502.29926942,14998502.29926942,14998502.29926942,14998502.29926942,14998502.29926942,14998502.29926942,0.0,0.0,0.0,39933501.67737891
1981-01-01,24193958.457923926,28628116.807225835,48247179.90163221,24193958.457923926,24193958.457923926,14372268.998256665,14372268.998256665,14372268.998256665,14372268.998256665,14372268.998256665,14372268.998256665,0.0,0.0,0.0,38566227.45618059
1982-01-01,23454403.97292836,27640218.643956266,48516523.41753391,23454403.97292836,23454403.97292836,14432889.900000064,14432889.900000064,14432889.900000064,14432889.900000064,14432889.900000064,14432889.900000064,0.0,0.0,0.0,37887293.872928426
1983-01-01,22714849.4879328,26788400.037702538,47013054.410269946,22714849.4879328,22714849.4879328,14641723.097387228,14641723.097387228,14641723.097387228,14641723.097387228,14641723.097387228,14641723.097387228,0.0,0.0,0.0,37356572.585320026
1984-01-01,21975080.43470851,26579804.546914954,47647472.591738194,21975080.43470851,21975080.43470851,14998502.299269795,14998502.299269795,14998502.299269795,14998502.299269795,14998502.299269795,14998502.299269795,0.0,0.0,0.0,36973582.7339783
1985-01-01,21233284.616954837,24487468.73218375,45587616.29694923,21233284.616954837,21233284.616954837,14372268.998256572,14372268.998256572,14372268.998256572,14372268.998256572,14372268.998256572,14372268.998256572,0.0,0.0,0.0,35605553.61521141
1986-01-01,20493468.236233886,24764903.260204185,45202753.779759996,20493468.236233886,20493468.236233886,14432889.90000013,14432889.90000013,14432889.90000013,14432889.90000013,14432889.90000013,14432889.90000013,0.0,0.0,0.0,34926358.136234015
1987-01-01,19753651.855512943,23835189.954780206,44202885.11072444,19753651.855512943,19753651.855512943,14641723.097387161,14641723.097387161,14641723.097387161,14641723.097387161,14641723.097387161,14641723.097387161,0.0,0.0,0.0,34395374.952900104
1988-01-01,19013747.36474565,24716236.92712227,43522436.35305675,19013747.36474565,19013747.36474565,14998502.299269378,14998502.299269378,14998502.299269378,14998502.299269378,14998502.299269378,14998502.299269378,0.0,0.0,0.0,34012249.664015025
1989-01-01,18271815.738387216,22500451.88392614,42686168.13230276,18271815.738387216,18271815.738387216,14372268.998256734,14372268.998256734,14372268.998256734,14372268.998256734,14372268.998256734,14372268.998256734,0.0,0.0,0.0,32644084.736643948
1990-01-01,17531911.24761992,22319115.08409003,42232505.739185505,17531911.24761992,17531911.24761992,14432889.90000005,14432889.90000005,14432889.90000005,14432889.90000005,14432889.90000005,14432889.90000005,0.0,0.0,0.0,31964801.14761997
1991-01-01,16791960.63700302,21569984.19447924,42630313.43567638,16791960.63700302,16791960.63700302,14641723.097386999,14641723.097386999,14641723.097386999,14641723.097386999,14641723.097386999,14641723.097386999,0.0,0.0,0.0,31433683.73439002
1992-01-01,16052010.026386123,21111572.060188986,41429547.942716256,16052010.026386123,16052010.026386123,14998502.299269997,14998502.299269997,14998502.299269997,14998502.299269997,14998502.299269997,14998502.299269997,0.0,0.0,0.0,31050512.32565612
1993-01-01,15309933.267350536,20078130.039094202,40148257.65827494,15309933.267350536,15309933.267350536,14372268.99825641,14372268.99825641,14372268.99825641,14372268.99825641,14372268.99825641,14372268.99825641,0.0,0.0,0.0,29682202.265606947
1994-01-01,14569884.040443467,18733961.726695698,38763550.08241296,14569884.040443467,14569884.040443467,14432889.900000118,14432889.900000118,14432889.900000118,14432889.900000118,14432889.900000118,14432889.900000118,0.0,0.0,0.0,29002773.940443583
1995-01-01,13829834.813745873,18743127.404472593,38866371.493036665,13829834.813745873,13829834.813745873,14641723.097386716,14641723.097386716,14641723.097386716,14641723.097386716,14641723.097386716,14641723.097386716,0.0,0.0,0.0,28471557.91113259
1996-01-01,13089785.58704828,18936913.69614992,38439721.11586059,13089785.58704828,13089785.58704828,14998502.299271086,14998502.299271086,14998502.299271086,14998502.299271086,14998502.299271086,14998502.299271086,0.0,0.0,0.0,28088287.886319365
1997-01-01,12347708.82805053,16383761.79940065,36370685.51474497,12347708.82805053,12347708.82805053,14372268.998256518,14372268.998256518,14372268.998256518,14372268.998256518,14372268.998256518,14372268.998256518,0.0,0.0,0.0,26719977.826307047
1998-01-01,11607659.601181192,16078402.985133111,35319148.90906721,11607659.601181192,11607659.601181192,14432889.900000226,14432889.900000226,14432889.900000226,14432889.900000226,14432889.900000226,14432889.900000226,0.0,0.0,0.0,26040549.501181416
1999-01-01,10867610.372528475,15546580.504654255,36225853.89973733,10867610.372528475,10867610.372528475,14641723.097386649,14641723.097386649,14641723.097386649,14641723.097386649,14641723.097386649,14641723.097386649,0.0,0.0,0.0,25509333.46991512
2000-01-01,10127561.143875765,15933391.181777135,35140367.79890292,10127561.143875765,10127561.143875765,14998502.299271815,14998502.299271815,14998502.299271815,14998502.299271815,14998502.299271815,14998502.299271815,0.0,0.0,0.0,25126063.443147577
2001-01-01,9385484.38308974,13233788.256634807,33718831.93277819,9385484.38308974,9385484.38308974,14372268.998256397,14372268.998256397,14372268.998256397,14372268.998256397,14372268.998256397,14372268.998256397,0.0,0.0,0.0,23757753.381346136
2002-01-01,8645435.153698726,12463915.406186884,33141010.02515653,8645435.153698726,8645435.153698726,14432889.900000252,14432889.900000252,14432889.900000252,14432889.900000252,14432889.900000252,14432889.900000252,0.0,0.0,0.0,23078325.05369898
