ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1973-01-01,11829134.679519942,-1542205.0551139573,10832919.352568293,11829134.679519942,11829134.679519942,-7328202.828854606,-7328202.828854606,-7328202.828854606,-7328202.828854606,-7328202.828854606,-7328202.828854606,0.0,0.0,0.0,4500931.8506653365
1974-01-01,11891321.869868584,-1479433.7058278923,11006941.27267195,11891321.869868584,11891321.869868584,-7322470.529999996,-7322470.529999996,-7322470.529999996,-7322470.529999996,-7322470.529999996,-7322470.529999996,0.0,0.0,0.0,4568851.339868588
1975-01-01,11953509.060217228,-1757086.6578159058,11158324.631746667,11953509.060217228,11953509.060217228,-7085375.484947286,-7085375.484947286,-7085375.484947286,-7085375.484947286,-7085375.484947286,-7085375.484947286,0.0,0.0,0.0,4868133.575269942
1976-01-01,12015696.25038553,-1441084.606626884,11318448.735872572,12015696.25038553,12015696.25038553,-6617232.941526378,-6617232.941526378,-6617232.941526378,-6617232.941526378,-6617232.941526378,-6617232.941526378,0.0,0.0,0.0,5398463.308859153
1977-01-01,12078053.816417309,-1519605.5863142114,10820650.852580978,12078053.816417309,12078053.816417309,-7328202.8288546605,-7328202.8288546605,-7328202.8288546605,-7328202.8288546605,-7328202.8288546605,-7328202.8288546605,0.0,0.0,0.0,4749850.987562648
1978-01-01,12140241.006739333,-1018606.8606986322,11185501.285686739,12140241.006739333,12140241.006739333,-7322470.529999941,-7322470.529999941,-7322470.529999941,-7322470.529999941,-7322470.529999941,-7322470.529999941,0.0,0.0,0.0,4817770.476739393
1979-01-01,12202428.19706136,-893796.4081196865,11086724.333539529,12202428.19706136,12202428.19706136,-7085375.484947304,-7085375.484947304,-7085375.484947304,-7085375.484947304,-7085375.484947304,-7085375.484947304,0.0,0.0,0.0,5117052.712114056
1980-01-01,12264615.387524148,-544868.8232671777,11435475.57868259,12264615.387524148,12264615.387524148,-6617232.941526067,-6617232.941526067,-6617232.941526067,-6617232.941526067,-6617232.941526067,-6617232.941526067,0.0,0.0,0.0,5647382.445998081
1981-01-01,12326972.953851216,-1325647.9514623664,11253996.405211091,12326972.953851216,12326972.953851216,-7328202.828854588,-7328202.828854588,-7328202.828854588,-7328202.828854588,-7328202.828854588,-7328202.828854588,0.0,0.0,0.0,4998770.124996628
1982-01-01,12389160.164665865,-1069018.651003438,11523125.618707657,12389160.164665865,12389160.164665865,-7322470.529999977,-7322470.529999977,-7322470.529999977,-7322470.529999977,-7322470.529999977,-7322470.529999977,0.0,0.0,0.0,5066689.634665888
