centrale,filiere,sous_filiere,combustible,code_insee_region,region,departement,code_insee_departement,date_de_mise_en_service_industrielle,puissance_installee,unite
CATTENOM,Nucléaire,Réacteur à eau pressurisée (REP) 1300,Uranium Enrichi,44.0,GRAND EST,MOSELLE,57.0,1991-02-01,1300.0,MW
CATTENOM,Nucléaire,Réacteur à eau pressurisée (REP) 1300,Uranium Enrichi,44.0,GRAND EST,MOSELLE,57.0,1992-01-01,1300.0,MW
CHINON B,Nucléaire,Réacteur à eau pressurisée (REP) 900,Multi-oxyde d’uranium et de plutonium,24.0,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,37.0,1984-02-01,905.0,MW
CHINON B,Nucléaire,Réacteur à eau pressurisée (REP) 900,Multi-oxyde d’uranium et de plutonium,24.0,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,37.0,1984-08-01,905.0,MW
CHINON B,Nucléaire,Réacteur à eau pressurisée (REP) 900,Multi-oxyde d’uranium et de plutonium,24.0,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,37.0,1987-03-04,905.0,MW
CHINON B,Nucléaire,Réacteur à eau pressurisée (REP) 900,Multi-oxyde d’uranium et de plutonium,24.0,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,37.0,1988-04-01,905.0,MW
CHOOZ B,Nucléaire,Réacteur à eau pressurisée (REP) 1450,Uranium Enrichi,44.0,GRAND EST,ARDENNES,8.0,2000-05-15,1500.0,MW
CHOOZ B,Nucléaire,Réacteur à eau pressurisée (REP) 1450,Uranium Enrichi,44.0,GRAND EST,ARDENNES,8.0,2000-09-29,1500.0,MW
CIVAUX,Nucléaire,Réacteur à eau pressurisée (REP) 1450,Uranium Enrichi,75.0,NOUVELLE-AQUITAINE,VIENNE,86.0,2002-01-29,1495.0,MW
CIVAUX,Nucléaire,Réacteur à eau pressurisée (REP) 1450,Uranium Enrichi,75.0,NOUVELLE-AQUITAINE,VIENNE,86.0,2002-04-23,1495.0,MW
CRUAS,Nucléaire,Réacteur à eau pressurisée (REP) 900,Uranium Enrichi,84.0,AUVERGNE-RHONE-ALPES,ARDECHE,7.0,1984-04-02,915.0,MW
CRUAS,Nucléaire,Réacteur à eau pressurisée (REP) 900,Uranium Enrichi,84.0,AUVERGNE-RHONE-ALPES,ARDECHE,7.0,1985-04-01,915.0,MW
CRUAS,Nucléaire,Réacteur à eau pressurisée (REP) 900,Uranium Enrichi,84.0,AUVERGNE-RHONE-ALPES,ARDECHE,7.0,1984-09-10,915.0,MW
CRUAS,Nucléaire,Réacteur à eau pressurisée (REP) 900,Uranium Enrichi,84.0,AUVERGNE-RHONE-ALPES,ARDECHE,7.0,1985-02-11,915.0,MW
