code_reg,capacite_de_production_gwh_an,augmentation_prevue
44,25.0264,Augmentation prévue
44,11.1725,Aucune augmentation supplémentaire prévue
44,26.814,Augmentation prévue
44,13.407,Aucune augmentation supplémentaire prévue
44,27.88656,Aucune augmentation supplémentaire prévue
44,19.6636,Aucune augmentation supplémentaire prévue
44,11.1725,Aucune augmentation supplémentaire prévue
44,16.0884,Aucune augmentation supplémentaire prévue
44,3.21768,Aucune augmentation supplémentaire prévue
44,22.345,Aucune augmentation supplémentaire prévue
44,7.5973,Aucune augmentation supplémentaire prévue
44,25.0264,Aucune augmentation supplémentaire prévue
44,15.1946,Augmentation prévue
44,53.628,Augmentation prévue
44,40.221,Aucune augmentation supplémentaire prévue
44,12.5132,Aucune augmentation supplémentaire prévue
44,10.45746,Augmentation prévue
44,23.2388,Augmentation prévue
44,22.345,Aucune augmentation supplémentaire prévue
52,22.345,Augmentation prévue
52,22.345,Aucune augmentation supplémentaire prévue
52,8.938,Augmentation prévue
52,11.1725,Aucune augmentation supplémentaire prévue
52,7.1504,Aucune augmentation supplémentaire prévue
52,13.407,Augmentation prévue
52,10.2787,Augmentation prévue
52,24.31136,Aucune augmentation supplémentaire prévue
52,62.566,Augmentation prévue
52,19.6636,Aucune augmentation supplémentaire prévue
52,19.03794,Augmentation prévue
52,26.814,Aucune augmentation supplémentaire prévue
52,16.5353,Augmentation prévue
52,26.814,Aucune augmentation supplémentaire prévue
52,5.8097,Aucune augmentation supplémentaire prévue
52,15.6415,Augmentation prévue
52,13.407,Aucune augmentation supplémentaire prévue
52,8.0442,Aucune augmentation supplémentaire prévue
52,6.7035,Augmentation prévue
52,10.7256,Aucune augmentation supplémentaire prévue
52,16.0884,Aucune augmentation supplémentaire prévue
52,6.2566,Augmentation prévue
52,11.1725,Augmentation prévue
52,11.6194,Aucune augmentation supplémentaire prévue
52,10.7256,Aucune augmentation supplémentaire prévue
52,22.345,Aucune augmentation supplémentaire prévue
52,7.5973,Augmentation prévue
52,31.283,Aucune augmentation supplémentaire prévue
52,26.814,Aucune augmentation supplémentaire prévue
52,6.7035,Augmentation prévue
52,9.8318,Aucune augmentation supplémentaire prévue
52,10.2787,Aucune augmentation supplémentaire prévue
52,13.407,Augmentation prévue
52,19.6636,Aucune augmentation supplémentaire prévue
52,10.7256,Augmentation prévue
52,10.2787,Aucune augmentation supplémentaire prévue
52,8.938,Aucune augmentation supplémentaire prévue
52,62.566,Augmentation prévue
52,13.4,
53,8.938,Aucune augmentation supplémentaire prévue
53,7.5973,Aucune augmentation supplémentaire prévue
53,7.1504,Aucune augmentation supplémentaire prévue
53,11.1725,Aucune augmentation supplémentaire prévue
53,5.3628,Augmentation prévue
53,13.407,Aucune augmentation supplémentaire prévue
53,4.469,Augmentation prévue
53,4.469,Aucune augmentation supplémentaire prévue
53,6.7035,Aucune augmentation supplémentaire prévue
53,6.7035,Aucune augmentation supplémentaire prévue
53,7.1504,Augmentation prévue
53,7.1504,Aucune augmentation supplémentaire prévue
53,5.3628,Augmentation prévue
53,9.8318,Aucune augmentation supplémentaire prévue
53,5.3628,Augmentation prévue
53,8.938,Augmentation prévue
53,5.8097,Augmentation prévue
53,27.2609,Aucune augmentation supplémentaire prévue
53,22.345,Aucune augmentation supplémentaire prévue
53,4.73714,Aucune augmentation supplémentaire prévue
53,6.2566,Aucune augmentation supplémentaire prévue
