annee;tri;perimetre_juridique;perimetre_spatial;categorie;category;sous_categorie;sub_category;valeur;unite
2019;24.0;EDF SA;France;Emission de CO2;CO2 Emission;CO2;CO2;26.78;g/kWh fourni
2019;25.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs vie courte;Short-lived radioactive waste;12.32;mg/kWh fourni
2019;26.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs vie longue;Long-lived radioactive waste;1.0;mg/kWh fourni
2018;27.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Nucléaire;Nuclear;86.3;%
2018;28.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Fioul;Fuel;1.0;%
2018;29.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Hydraulique;Hydraulic;6.6;%
2018;30.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Charbon;Coal;1.5;%
2018;31.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Gaz;Gas;2.7;%
2018;32.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Autres Renouvelables;Other renewables;1.9;%
2018;33.0;EDF SA;France;Emission de CO2;CO2 Emission;CO2;CO2;31.91;g/kWh fourni
2018;34.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs vie courte;Short-lived radioactive waste;11.7;mg/kWh fourni
2018;35.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs vie longue;Long-lived radioactive waste;0.99;mg/kWh fourni
2017;36.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Nucléaire;Nuclear;85.9;%
2017;37.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Fioul;Fuel;1.3;%
2017;38.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Hydraulique;Hydraulic;5.3;%
2017;39.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Charbon;Coal;1.9;%
2017;40.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Gaz;Gas;3.7;%
2017;41.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Autres Renouvelables;Other renewables;1.9;%
2017;42.0;EDF SA;France;Emission de CO2;CO2 Emission;CO2;CO2;40.66;g/kWh fourni
2017;43.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs vie courte;Short-lived radioactive waste;12.24;mg/kWh fourni
2017;44.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs vie longue;Long-lived radioactive waste;0.97;mg/kWh fourni
2016;45.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Nucléaire;Nuclear;89.13;%
2016;46.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Fioul;Fuel;1.32;%
2016;47.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Hydraulique;Hydraulic;4.51;%
2016;48.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Charbon;Coal;1.44;%
2016;49.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Gaz;Gas;2.58;%
2016;50.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Autres Renouvelables;Other renewables;1.02;%
2016;51.0;EDF SA;France;Emission de CO2;CO2 Emission;CO2;CO2;32.18;g/kWh fourni
2016;52.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs vie courte;Short-lived radioactive waste;12.96;mg/kWh fourni
2016;53.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs vie longue;Long-lived radioactive waste;1.0;mg/kWh fourni
2015;54.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Nucléaire;Nuclear;89.7;%
2015;55.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Fioul;Fuel;1.1;%
2015;56.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Hydraulique;Hydraulic;6.3;%
2015;57.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Charbon;Coal;1.5;%
2015;58.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Gaz;Gas;0.8;%
2015;59.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Autres Renouvelables;Other renewables;0.6;%
2015;60.0;EDF SA;France;Emission de CO2;CO2 Emission;CO2;CO2;25.02;g/kWh fourni
2015;61.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs vie courte;Short-lived radioactive waste;11.1;mg/kWh fourni
2015;62.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs vie longue;Long-lived radioactive waste;1.0;mg/kWh fourni
