tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;production;unite;methode_de_consolidation;consolidation_method
213;2019;Groupe;Group;Monde;World;Divers;Various;Electrique;Electric;396.0715;GWh;Intégration Globale;Full integration
214;2019;Groupe;Group;Monde;World;Charbon;Coal;Chaleur;Heat;990.2814336;GWh;Intégration Globale;Full integration
215;2019;Groupe;Group;Monde;World;Fioul;Fioul;Chaleur;Heat;266.9434758;GWh;Intégration Globale;Full integration
216;2019;Groupe;Group;Monde;World;Gaz;Gas;Chaleur;Heat;17392.2508795;GWh;Intégration Globale;Full integration
217;2019;Groupe;Group;Monde;World;Divers;Various;Chaleur;Heat;3258.20326506;GWh;Intégration Globale;Full integration
218;2019;Groupe;Group;Monde;World;ENR;Renewable Energies;Chaleur;Heat;8517.57675774;GWh;Intégration Globale;Full integration
219;2019;Groupe;Group;Belgique;Belgium;Nucléaire;Nuclear;Electrique;Electric;6152.7385983;GWh;Nette;Net
220;2019;Groupe;Group;République populaire de Chine;People's Republic of China;Nucléaire;Nuclear;Electrique;Electric;4851.0;GWh;Nette;Net
221;2019;Groupe;Group;France;France;Nucléaire;Nuclear;Electrique;Electric;368131.21913;GWh;Nette;Net
222;2019;Groupe;Group;Royaume-Uni;United Kingdom;Nucléaire;Nuclear;Electrique;Electric;40825.6704;GWh;Nette;Net
223;2019;Groupe;Group;États-Unis;United States of America;Nucléaire;Nuclear;Electrique;Electric;16864.666392;GWh;Nette;Net
224;2019;Groupe;Group;République populaire de Chine;People's Republic of China;Charbon;Coal;Electrique;Electric;9462.06646;GWh;Nette;Net
225;2019;Groupe;Group;France;France;Charbon;Coal;Electrique;Electric;927.388841333;GWh;Nette;Net
226;2019;Groupe;Group;Pologne;Poland;Charbon;Coal;Electrique;Electric;22.7432269475;GWh;Nette;Net
227;2019;Groupe;Group;Royaume-Uni;United Kingdom;Charbon;Coal;Electrique;Electric;2570.423;GWh;Nette;Net
228;2019;Groupe;Group;France;France;Fioul;Fioul;Electrique;Electric;4825.69600362;GWh;Nette;Net
229;2019;Groupe;Group;Chili;Chile;Fioul;Fioul;Electrique;Electric;19.74325;GWh;Nette;Net
230;2019;Groupe;Group;Belgique;Belgium;Gaz;Gas;Electrique;Electric;2066.4225343;GWh;Nette;Net
231;2019;Groupe;Group;Brésil;Brazil;Gaz;Gas;Electrique;Electric;6475.17955;GWh;Nette;Net
232;2019;Groupe;Group;Espagne;Spain;Gaz;Gas;Electrique;Electric;22.3373743988;GWh;Nette;Net
