tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method;commentaire
78;2021;Groupe;Group;Maroc;Morocco;Autres ENR;Other Renewable Energies;Chaleur;Heat;1.26321;MWth;Nette;Net;
79;2021;Groupe;Group;Emirats Arabes Unis;United Arab Emirates;Solaire;Solar;Electrique;Electric;170.432;MWe;Nette;Net;
80;2021;Groupe;Group;Egypte;Egypt;Solaire;Solar;Electrique;Electric;65.35131;MWe;Nette;Net;
81;2021;Groupe;Group;Arabie Saoudite;Saudi Arabia;Eolien;Wind;Electrique;Electric;212.16;MWe;Nette;Net;
82;2020;Groupe;Group;Afrique du Sud;South Africa;Eolien;Wind;Electrique;Electric;55.76;MWe;Nette;Net;
83;2020;Groupe;Group;Allemagne;Germany;Hydraulique;Hydraulic;Electrique;Electric;75.5;MWe;Nette;Net;
84;2020;Groupe;Group;Allemagne;Germany;Eolien;Wind;Electrique;Electric;173.34;MWe;Nette;Net;
85;2020;Groupe;Group;Belgique;Belgium;Nucléaire;Nuclear;Electrique;Electric;768.21655;MWe;Nette;Net;
86;2020;Groupe;Group;Belgique;Belgium;Gaz;Gas;Electrique;Electric;828.91314;MWe;Nette;Net;
87;2020;Groupe;Group;Belgique;Belgium;Hydraulique;Hydraulic;Electrique;Electric;45.851703;MWe;Nette;Net;
88;2020;Groupe;Group;Belgique;Belgium;Eolien;Wind;Electrique;Electric;402.588661;MWe;Nette;Net;
89;2020;Groupe;Group;Belgique;Belgium;Solaire;Solar;Electrique;Electric;1.159462672;MWe;Nette;Net;
90;2020;Groupe;Group;Belgique;Belgium;Fioul;Fioul;Chaleur;Heat;10.01998;MWth;Nette;Net;
91;2020;Groupe;Group;Belgique;Belgium;Gaz;Gas;Chaleur;Heat;36.71705;MWth;Nette;Net;
92;2020;Groupe;Group;Brésil;Brazil;Gaz;Gas;Electrique;Electric;936.9185;MWe;Nette;Net;
93;2020;Groupe;Group;Brésil;Brazil;Hydraulique;Hydraulic;Electrique;Electric;204.96;MWe;Nette;Net;
94;2020;Groupe;Group;Brésil;Brazil;Eolien;Wind;Electrique;Electric;238.0;MWe;Nette;Net;
95;2020;Groupe;Group;Brésil;Brazil;Solaire;Solar;Electrique;Electric;199.26;MWe;Nette;Net;
96;2020;Groupe;Group;Canada;Canada;Eolien;Wind;Electrique;Electric;618.19;MWe;Nette;Net;
97;2020;Groupe;Group;Canada;Canada;Solaire;Solar;Electrique;Electric;42.4;MWe;Nette;Net;
98;2020;Groupe;Group;Chine;China;Nucléaire;Nuclear;Electrique;Electric;1050.0;MWe;Nette;Net;
99;2020;Groupe;Group;Chine;China;Charbon;Coal;Electrique;Electric;1999.76;MWe;Nette;Net;
100;2020;Groupe;Group;Chine;China;Eolien;Wind;Electrique;Electric;253.74;MWe;Nette;Net;
101;2020;Groupe;Group;Chine;China;Solaire;Solar;Electrique;Electric;113.15;MWe;Nette;Net;
102;2020;Groupe;Group;Espagne;Spain;Gaz;Gas;Electrique;Electric;5.06114371;MWe;Nette;Net;
103;2020;Groupe;Group;Espagne;Spain;Solaire;Solar;Electrique;Electric;1.181084255;MWe;Nette;Net;
104;2020;Groupe;Group;Espagne;Spain;Gaz;Gas;Chaleur;Heat;122.35399067;MWth;Nette;Net;
105;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Nucléaire;Nuclear;Electrique;Electric;61370.0;MWe;Nette;Net;
106;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Charbon;Coal;Electrique;Electric;1757.6;MWe;Nette;Net;
107;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Electrique;Electric;3607.3818818;MWe;Nette;Net;
108;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Electrique;Electric;3657.9927926;MWe;Nette;Net;
109;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Hydraulique;Hydraulic;Electrique;Electric;20484.350464;MWe;Nette;Net;
110;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Géothermie;Geothermal;Electrique;Electric;0.8864;MWe;Nette;Net;
111;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Eolien;Wind;Electrique;Electric;1545.76576;MWe;Nette;Net;
112;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Solaire;Solar;Electrique;Electric;290.725392;MWe;Nette;Net;
113;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Biomasse;Biomass;Electrique;Electric;208.2923036;MWe;Nette;Net;
114;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Energie marine;Marine energy;Electrique;Electric;240.0;MWe;Nette;Net;
115;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Divers;Various;Electrique;Electric;31.9788012;MWe;Nette;Net;
116;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Charbon;Coal;Chaleur;Heat;63.71175;MWth;Nette;Net;
117;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Chaleur;Heat;926.463788;MWth;Nette;Net;
118;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Chaleur;Heat;20157.678132;MWth;Nette;Net;
119;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Autres ENR;Other Renewable Energies;Chaleur;Heat;2442.762188;MWth;Nette;Net;
120;2020;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Divers;Various;Chaleur;Heat;6226.751706;MWth;Nette;Net;
121;2020;Groupe;Group;Grèce;Greece;Gaz;Gas;Electrique;Electric;394.6773725;MWe;Nette;Net;
122;2020;Groupe;Group;Grèce;Greece;Eolien;Wind;Electrique;Electric;238.2;MWe;Nette;Net;
123;2020;Groupe;Group;Grèce;Greece;Solaire;Solar;Electrique;Electric;12.09;MWe;Nette;Net;
124;2020;Groupe;Group;Inde;India;Eolien;Wind;Electrique;Electric;176.5;MWe;Nette;Net;
125;2020;Groupe;Group;Inde;India;Solaire;Solar;Electrique;Electric;99.68;MWe;Nette;Net;
126;2020;Groupe;Group;Israël;Israel;Solaire;Solar;Electrique;Electric;220.31;MWe;Nette;Net;
127;2020;Groupe;Group;Italie;Italy;Gaz;Gas;Electrique;Electric;4392.50536726;MWe;Nette;Net;
128;2020;Groupe;Group;Italie;Italy;Hydraulique;Hydraulic;Electrique;Electric;911.535446778;MWe;Nette;Net;
129;2020;Groupe;Group;Italie;Italy;Eolien;Wind;Electrique;Electric;432.288814;MWe;Nette;Net;
130;2020;Groupe;Group;Italie;Italy;Solaire;Solar;Electrique;Electric;79.3291725;MWe;Nette;Net;
131;2020;Groupe;Group;Italie;Italy;Biomasse;Biomass;Electrique;Electric;2.911806;MWe;Nette;Net;
132;2020;Groupe;Group;Italie;Italy;Divers;Various;Electrique;Electric;7.11385;MWe;Nette;Net;
133;2020;Groupe;Group;Italie;Italy;Fioul;Fioul;Chaleur;Heat;4.4827;MWth;Nette;Net;
134;2020;Groupe;Group;Italie;Italy;Gaz;Gas;Chaleur;Heat;2137.5589285;MWth;Nette;Net;
135;2020;Groupe;Group;Italie;Italy;Autres ENR;Other Renewable Energies;Chaleur;Heat;31.567953;MWth;Nette;Net;
136;2020;Groupe;Group;Italie;Italy;Divers;Various;Chaleur;Heat;48.82245;MWth;Nette;Net;
137;2020;Groupe;Group;Mexique;Mexico;Eolien;Wind;Electrique;Electric;162.0;MWe;Nette;Net;
138;2020;Groupe;Group;Mexique;Mexico;Solaire;Solar;Electrique;Electric;119.6;MWe;Nette;Net;
139;2020;Groupe;Group;Pologne;Poland;Charbon;Coal;Electrique;Electric;11.694;MWe;Nette;Net;
140;2020;Groupe;Group;Pologne;Poland;Fioul;Fioul;Electrique;Electric;0.369778;MWe;Nette;Net;
